name	rating	date	title	up_vote	down_vote
江天天	很差	2020-09-25 22:01:20	不好看		1
后台 - 为小宝	力荐	2020-09-25 17:11:00	“隔岸观火”——仓库成了模拟盘，而岸那一边拥有传统舞台的租界内才是真正的观众区		
半杯苦咖啡	力荐	2020-09-25 17:00:13	在民族大义上，立场不应有别		
紫苏影像	推荐	2020-09-25 12:08:23	《八佰》：不要用历史去绑架电影，历史的真相自有评说	1	
豆友191895973	很差	2020-09-25 04:50:25	国内目前最好的抗日神片	1	2
鸿雁	还行	2020-09-24 23:00:42	期望过高，前半段煽情，后半段生硬		
蝉子	推荐	2020-09-24 19:56:15	《八佰》影评:有空去翻翻历史	1	
蜜蜂先生	还行	2020-09-24 17:00:32	遗漏的角色设置和人物塑造，电影失了魂魄		
Надежда	力荐	2020-09-24 12:47:33	我们不放弃，我们与你们永远同在		
木梓欣	推荐	2020-09-24 08:49:07	看了《八佰》，还是更喜欢《团长》		
you辟know邪who	较差	2020-09-24 08:07:19	这不是真的历史	1	1
XXL	力荐	2020-09-24 00:52:36	历史的黄昏   黎明的尽头		
青帝	还行	2020-09-24 00:01:19	高级版手撕鬼子	1	
匿匿	还行	2020-09-23 23:51:52	憋了很久的吐槽		
FayeWinslet	推荐	2020-09-23 19:32:54	别让意识形态分裂了中国人民		
从依壑	力荐	2020-09-23 14:18:11	直播中的战争和直播后群像研究		
浅蓝色的低调	力荐	2020-09-23 11:56:10	《八佰》随笔		
雨夜离陌	推荐	2020-09-23 10:02:46	向死而生	2	
黑色郁金香	较差	2020-09-22 23:21:21	一部只有情怀和失败的作品	1	
小城雨巷1012	还行	2020-09-22 22:05:30	一半是电影，一半是reaction		
Ming	很差	2020-09-22 20:55:26	《八佰》：历史与电影的煽情成瘾症	2	
Thinking	很差	2020-09-22 19:28:48	没尴尬癌都整出尴尬癌来	1	
䶮虓	推荐	2020-09-22 15:34:02	二刷《八佰》，发现了10个隐藏“彩蛋” ……		
糖糖	推荐	2020-09-22 11:18:33	谢谢你们，给我们今天		
繁星与风	推荐	2020-09-21 22:44:31	八佰——信仰是使生命之花绽放的风		
干细胞	力荐	2020-09-21 17:59:01	爱国，永不灭		
林深时见鹿	力荐	2020-09-21 17:18:54	意义	1	
ysy	还行	2020-09-21 13:40:57	期望过高随之而来的是巨大失望		
杨幂	力荐	2020-09-21 13:19:34	“待我成尘时，你将见我的微笑”		
安静的行者	力荐	2020-09-21 12:13:45	寻找你心中的白马。		
AZY	推荐	2020-09-21 11:30:56	每一个你，每一个我		
万伏母	推荐	2020-09-21 11:05:59	八佰		
突然想看个电影	推荐	2020-09-21 11:03:33	值得一看的电影		
雲画	还行	2020-09-21 10:30:54	电影《八佰》，一部文艺范的战争片？	1	
茄伦	力荐	2020-09-21 05:27:39	竖起那面自强抗争的旗帜	1	
祭酒阿瞒	力荐	2020-09-21 00:36:34	这场用生命上演的“表演仗”点燃了我的民族之魂	1	
Fours	还行	2020-09-21 00:04:55	观后感		
Cosin	力荐	2020-09-20 23:50:25	鸵鸟与白马		
由由	力荐	2020-09-20 23:35:16	“历史会记住这里，历史会记住我们嗯”	1	
幽灵山卫👻	推荐	2020-09-20 22:37:08	可圈可点	1	
Candice	推荐	2020-09-20 21:23:12	为影片为过审而做的努力鼓掌		
豆友185554317	还行	2020-09-20 19:06:18	小作文		
youngever	推荐	2020-09-20 18:48:52	《八佰》--对比的艺术		
justforstar	力荐	2020-09-20 17:26:47	这是要载入史册的电影	2	
再来一瓶	推荐	2020-09-20 16:12:46	历史总是由现实的光芒来照亮的		
我很好	推荐	2020-09-20 15:13:50	感动		
花开花落又一年	力荐	2020-09-20 12:35:21	悲壮的英雄！！！！！！！！！！！！。。。。。。，，，，，，，，，，，，，，	1	
Will.Z	力荐	2020-09-20 11:34:55	撤退那一幕并不是虚构	2	
arya	推荐	2020-09-20 10:18:18	历史和英雄的矛盾		
哟吼吼吼	力荐	2020-09-20 00:02:11	聊聊《八佰》	1	
阿卡什	力荐	2020-09-19 20:30:34	八佰	1	
Peony	推荐	2020-09-19 18:49:37	战争皆起于政治		
听雪轻吟	还行	2020-09-19 18:01:17	不推荐		
CucKoo	推荐	2020-09-19 17:31:32	世界需要英雄，也允许有瓜怂	1	
DringZhang	力荐	2020-09-19 17:06:33	真是题材抗日战争电影		
Small健步飞贼	还行	2020-09-19 17:02:22	感谢电影科普了这段历史，但是电影吧……	1	
nnbw	推荐	2020-09-19 15:40:04	一些感想		
影评匠	还行	2020-09-19 14:55:21	若电影《八佰》在日本上映，票房会大卖吗？		
醉余堂主人	还行	2020-09-19 13:24:28	为什么，我们后人对于《八佰》里面的英雄，会心怀愧疚？	2	
Lucky85	推荐	2020-09-19 13:15:44	《八佰》观后感		
凯杰	力荐	2020-09-19 08:50:46	战争的背后是政治，所谓的英勇是炮灰。		
豆友184424070	还行	2020-09-19 00:14:55	《八佰》成也萧何败也萧何		
楚彧	较差	2020-09-19 00:05:33	只能说感谢电影这个机会让人去了解真正的历史，电影本身太失望	1	
前共和國	推荐	2020-09-18 23:38:20	八佰小小观点碎碎念吧阿吧阿		
hey	力荐	2020-09-18 23:38:05	不论以后发生了什么，我会一直以我是中国人为傲		
兔酱兔酱	推荐	2020-09-18 21:35:30	我真觉得800很不错		
浣不溪的沙	力荐	2020-09-18 19:17:24	差评的人请给中国电影一些包容		
起个什么名字好	推荐	2020-09-18 17:00:59	八佰-国人如此，倭寇何敢		
影评匠	还行	2020-09-18 15:14:47	预测管虎电影《八佰》的票房会突破40亿吗？		
Melody	还行	2020-09-18 10:30:42	八佰		1
孔雀石	还行	2020-09-18 02:53:41	一瓶鸡尾酒		
梅西的马黛茶	推荐	2020-09-18 00:29:13	《八佰》		
KQ	推荐	2020-09-17 23:50:27	仅代表个人的真实观后感		
目标170	力荐	2020-09-17 23:21:42	在民族大义的面前，他们都选择了一如既往的去牺牲！		
绝命纸牌	力荐	2020-09-17 18:58:08	大事件		
MAGGIE_嫚	推荐	2020-09-17 18:03:39	观《八佰》| 眼泪还没来得及蓄满眼眶，便干了	1	
上善若水	力荐	2020-09-17 17:32:02	感恩和平		
雨下	还行	2020-09-17 12:59:06	战争背后都是政治		
゜静	还行	2020-09-17 11:50:06	心系家国，承袭坚韧		
菘寒	推荐	2020-09-17 10:04:51	一条河流，分隔出天堂和地狱		
ven741	很差	2020-09-17 10:04:43	无题	2	
昵称不能为空.	很差	2020-09-17 08:59:21	“历史”	3	
AAA.	力荐	2020-09-17 08:42:17	八佰		
大漠狼主	很差	2020-09-17 00:09:27	用玄幻伪历史片的定位看《八佰》	1	
Primrose	还行	2020-09-16 23:38:00	三星的原因——抗战之胜利在于全“民”抗战、全世界之抗战		
玄猫	还行	2020-09-16 23:03:31	短评		
草木秋山	推荐	2020-09-16 21:39:50	《八佰》扩充标记		
做闲置的小姐姐	力荐	2020-09-16 21:27:33	八佰的家国情怀		
阿瑜	力荐	2020-09-16 20:38:56	观《八佰》有感		
晃荡	还行	2020-09-16 20:15:30	这一次，影像≠影响力。		
毅心毅意有你	推荐	2020-09-16 19:58:05	令人沉重令人反思的呈现		
大大卷	推荐	2020-09-16 17:08:15	零碎的一些观点		
伤诔	力荐	2020-09-16 16:07:11	五星不为电影 而是为哪些牺牲的战士		
懒洋洋晒太阳	推荐	2020-09-16 15:24:04	支离破碎的想法?	1	
FateU	还行	2020-09-16 14:57:30	关于八佰这部电影		
Yuecong	很差	2020-09-16 11:30:43	演技再好的演员，也就是工具人。	2	1
何见	力荐	2020-09-16 11:24:40	得让这种拍历史的投资方挣到钱		
4huiii	较差	2020-09-16 09:31:45	关于电影中的两性表达	1	
巴啦啦嘿	还行	2020-09-16 00:24:07	既然电影不尊重史实，那我只能以一个人的立场去看待这个愚蠢的影片了	1	
叮叮叮～～～	还行	2020-09-16 00:11:12	致敬历史，八佰有些勉强吧		
A0 呼欢	推荐	2020-09-15 22:20:50	一部可以去看的电影		
超弦时空	推荐	2020-09-15 21:05:09	《八佰》：只解沙场为国死，何须马革裹尸还		
Y .	推荐	2020-09-15 15:37:27	给了个感性的四星少一颗是因为害我哭惨了		
雨尔	推荐	2020-09-15 11:46:33	让人哭的点，还没有拍出来	1	
雷锋	推荐	2020-09-15 10:12:27	影院复工第一部国产大片今天超前点映，只为这400多个人，必去看…		
风行于林	推荐	2020-09-15 07:14:48	被爱国绑架的3星片		
凡	推荐	2020-09-15 04:17:44	该如何让观众哭		
豆友206261731	较差	2020-09-15 02:20:47	不爽：八佰，黑鹰坠落，决战钢锯岭	1	
宓	力荐	2020-09-15 02:20:44	转自九边：关于“四行仓库”，你想知道的基本都在这里		
Paper Tiger	还行	2020-09-15 00:18:14	过誉的《八佰》，摇摆的立场		
hhh	力荐	2020-09-15 00:15:52	观八佰		
